timestamp_ns sk_sndbuf sk_wmem_queued bytes_sent bytes_acked snd_ssthresh snd_cwnd snd_wnd
16385743056843 87040 0 0 1 2147483647 10 65160
16385743071281 87040 0 0 1 2147483647 10 65160
16385745394462 87040 1072 176 1 2147483647 10 65280
16385745403039 87040 1072 176 1 2147483647 10 65280
16385745682396 87040 21480 14416 177 2147483647 10 65152
16385745685161 87040 21480 14416 177 2147483647 10 65152
16385745749525 87040 13464 18968 7297 2147483647 15 58368
16385745751944 87040 13464 18968 7297 2147483647 15 58368
16385745777451 87040 5448 18968 14417 2147483647 20 58368
16385745783649 87040 5448 18968 14417 2147483647 20 58368
16385746131096 87040 960 19032 18969 2147483647 24 57216
16385746138505 87040 960 19032 18969 2147483647 24 57216
16385746368312 87040 5432 23568 19033 2147483647 24 64128
16385746375023 87040 5432 23568 19033 2147483647 24 64128
16385746727069 87040 7600 28048 23569 2147483647 24 59648
16385746730305 87040 7600 28048 23569 2147483647 24 59648
16385746898570 87040 11872 36496 28049 2147483647 24 55168
16385746906208 87040 11872 36496 28049 2147483647 24 55168
16385747232559 87040 24328 57168 36497 2147483647 24 46720
16385747235612 87040 24328 57168 36497 2147483647 24 46720
16385747411607 87040 22696 57240 37233 2147483647 25 64128
16385747419218 87040 22696 57240 37233 2147483647 25 64128
16385747429710 322048 4712 57240 54321 2147483647 37 56192
16385747431983 322048 4712 57240 54321 2147483647 37 56192
16385747436387 322048 968 57240 57169 2147483647 37 54656
16385747438364 322048 968 57240 57169 2147483647 37 54656
16385747903692 322048 2224 58568 57241 2147483647 37 64128
16385747910342 322048 2224 58568 57241 2147483647 37 64128
16385748046539 322048 23520 81192 58569 2147483647 37 64128
16385748053709 322048 23520 81192 58569 2147483647 37 64128
16385748522390 322048 53048 129256 81193 2147483647 37 59816
16385748527841 322048 53048 129256 81193 2147483647 37 59816
16385748665157 322048 35416 130656 97929 2147483647 49 36736
16385748675522 322048 35416 130656 97929 2147483647 49 36736
16385748682871 322048 8888 130656 123561 2147483647 67 115456
16385748685036 322048 8888 130656 123561 2147483647 67 115456
16385748691587 322048 2296 130656 129257 2147483647 71 126848
16385748693473 322048 2296 130656 129257 2147483647 71 126848
16385749335105 617984 59544 186416 130657 2147483647 71 129664
16385749342914 617984 59544 186416 130657 2147483647 71 129664
16385749377670 800768 94216 246800 159361 2147483647 92 187136
16385749380335 800768 94216 246800 159361 2147483647 92 187136
16385749642207 800768 78776 258168 186417 2147483647 111 241152
16385749649722 800768 78776 258168 186417 2147483647 111 241152
16385749846760 800768 76784 258168 187513 2147483647 112 244096
16385749851638 800768 76784 258168 187513 2147483647 112 244096
16385749858408 800768 48832 258168 214569 112 112 298240
16385749860272 800768 48832 258168 214569 112 112 298240
16385749864246 800768 47032 258168 215473 112 112 301056
16385749866086 800768 47032 258168 215473 112 112 301056
16385749877372 800768 14808 258168 246801 112 112 363776
16385749879367 800768 14808 258168 246801 112 112 363776
16385749899355 800768 12512 258920 248201 112 112 366592
16385749901294 800768 12512 258920 248201 112 112 366592
16385749943948 800768 16896 271736 258169 112 112 386560
16385749946288 800768 16896 271736 258169 112 112 386560
16385750029591 800768 100336 336432 258921 112 112 389376
16385750037495 800768 100336 336432 258921 112 112 389376
16385750058829 800768 87520 352072 271737 112 112 414976
16385750061057 800768 87520 352072 271737 112 112 414976
16385750316086 800768 93720 358680 272377 112 112 417920
