timestamp_ns sk_sndbuf sk_wmem_queued bytes_sent bytes_acked snd_ssthresh snd_cwnd snd_wnd
2007942348877 87040 933 37 1 2147483647 10 65160
2007942386504 87040 933 37 1 2147483647 10 65160
2007942481929 87040 0 37 38 2147483647 10 65152
2007942486392 87040 0 37 38 2147483647 10 65152
2007943166293 87040 1934 179 38 2147483647 10 65152
2007943183548 87040 1934 179 38 2147483647 10 65152
2007943607971 87040 0 179 180 2147483647 10 65024
2007943623347 87040 0 179 180 2147483647 10 65024
2007944568153 87040 933 37 1 2147483647 10 65160
2007944578549 87040 933 37 1 2147483647 10 65160
2007944711036 87040 0 37 38 2147483647 10 65152
2007944717922 87040 0 37 38 2147483647 10 65152
2007946545008 87040 0 179 180 2147483647 10 65024
2007946552342 87040 0 179 180 2147483647 10 65024
2007946566766 87040 0 179 180 2147483647 10 65024
2007946568923 87040 0 179 180 2147483647 10 65024
2007946894631 87040 69760 14277 38 2147483647 10 65280
2007946904928 87040 69760 14277 38 2147483647 10 65280
2007946951928 130560 62640 24245 7158 2147483647 15 61056
2007946958798 130560 62640 24245 7158 2147483647 15 61056
2007947061951 174080 55520 42757 14278 2147483647 20 57216
2007947070637 174080 55520 42757 14278 2147483647 20 57216
2007947166977 235008 57584 62693 24246 2147483647 27 59520
2007947175903 235008 57584 62693 24246 2147483647 27 59520
2007947208751 278528 49568 65317 31366 2147483647 32 78336
2007947211112 278528 49568 65317 31366 2147483647 32 78336
2007947273644 278528 38176 75285 42758 2147483647 40 101120
2007947281473 278528 38176 75285 42758 2147483647 40 101120
2007947288055 278528 18768 75285 61270 2147483647 53 138240
2007947289793 278528 18768 75285 61270 2147483647 53 138240
2007947387295 278528 16448 75285 62694 2147483647 54 141056
2007947390629 278528 16448 75285 62694 2147483647 54 141056
2007947482587 278528 41040 102085 65318 2147483647 56 146304
2007947487375 278528 41040 102085 65318 2147483647 56 146304
2007947527984 278528 30176 102085 75286 2147483647 56 144256
2007947530411 278528 30176 102085 75286 2147483647 56 144256
2007947565946 278528 28112 102773 76454 2147483647 56 155136
2007947568041 278528 28112 102773 76454 2147483647 56 155136
2007947651500 278528 1584 102773 102086 2147483647 56 155136
2007947660674 278528 1584 102773 102086 2147483647 56 155136
2007948194004 487424 28048 129925 102774 2147483647 56 154496
2007948202854 487424 28048 129925 102774 2147483647 56 154496
2007949898535 487424 43776 171909 129926 2147483647 56 134656
2007949908152 487424 43776 171909 129926 2147483647 56 134656
2007949915963 731136 3008 171909 169798 2147483647 84 251776
2007949917789 731136 3008 171909 169798 2147483647 84 251776
2007951415054 731136 128528 291525 171910 2147483647 84 256000
2007951427466 731136 128528 291525 171910 2147483647 84 256000
2007951450150 731136 67824 296853 231718 2147483647 126 375552
2007951452305 731136 67824 296853 231718 2147483647 126 375552
2007951456455 731136 62656 296853 235990 2147483647 129 384128
2007951458216 731136 62656 296853 235990 2147483647 129 384128
2007952181930 1462272 6224 296853 291526 2147483647 168 495232
2007952190100 1462272 6224 296853 291526 2147483647 168 495232
2007953217365 1497088 88640 383701 296854 2147483647 172 505856
2007953224870 1497088 88640 383701 296854 2147483647 172 505856
2007953231185 1497088 23664 383701 360934 2147483647 172 633984
2007953233009 1497088 23664 383701 360934 2147483647 172 633984
2007954280871 1497088 448496 628629 383702 2147483647 172 679552
2007954288728 1497088 448496 628629 383702 2147483647 172 679552
2007954301595 1497088 383520 704101 447782 2147483647 217 1211008
2007954303561 1497088 383520 704101 447782 2147483647 217 1211008
2007954311207 1497088 318544 825029 511862 2147483647 262 1211008
2007954313018 1497088 318544 825029 511862 2147483647 262 1211008
2007954316368 1497088 253568 825029 575942 2147483647 307 1211008
2007954318081 1497088 253568 825029 575942 2147483647 307 1211008
2007954666515 1497088 199984 825029 628630 2147483647 344 1211008
2007954674461 1497088 199984 825029 628630 2147483647 344 1211008
2007954680889 1497088 187696 825029 640022 2147483647 352 1657728
2007954682718 1497088 187696 825029 640022 2147483647 352 1657728
2007954686146 1497088 122720 825029 704102 2147483647 397 1593728
2007954688006 1497088 122720 825029 704102 2147483647 397 1593728
2007954693573 1497088 57744 825029 768182 2147483647 442 1529728
2007954695331 1497088 57744 825029 768182 2147483647 442 1529728
2007956688229 1497088 109200 930053 825030 2147483647 482 1562240
2007956690264 1497088 109200 930053 825030 2147483647 482 1562240
2007956775080 1497088 107232 930645 826102 2147483647 482 2320256
2007956780958 1497088 107232 930645 826102 2147483647 482 2320256
2007958074112 1497088 42256 930645 890182 2147483647 482 2674560
2007958087438 1497088 42256 930645 890182 2147483647 482 2674560
2007958123193 4194304 81088 1007541 930054 482 482 2634752
2007958125590 4194304 81088 1007541 930054 482 482 2634752
2007958526832 4194304 79600 1007557 930646 482 482 2634752
2007958535950 4194304 79600 1007557 930646 482 482 2634752
2007958542199 4194304 14624 1007557 994726 482 482 2677632
2007958544008 4194304 14624 1007557 994726 482 482 2677632
2007958547552 4194304 912 1007557 1007542 482 482 2677632
2007958549267 4194304 912 1007557 1007542 482 482 2677632
2007959530010 4194304 6304 1012965 1007558 482 482 2677632
2007959541411 4194304 6304 1012965 1007558 482 482 2677632
2007960885803 4194304 1155232 1671509 1012966 482 482 2778112
2007960896874 4194304 1155232 1671509 1012966 482 482 2778112
2007960911978 4194304 1148240 1671509 1019062 482 482 2666240
2007960914060 4194304 1148240 1671509 1019062 482 482 2666240
2007960928533 4194304 1083264 1735589 1083142 482 484 2666240
2007960930627 4194304 1083264 1735589 1083142 482 484 2666240
2007960938668 4194304 1018288 1799669 1147222 482 486 2666240
2007960940705 4194304 1018288 1799669 1147222 482 486 2666240
2007960945028 4194304 1014544 1799669 1150070 482 486 2666240
2007960946839 4194304 1014544 1799669 1150070 482 486 2666240
2007960953134 4194304 948608 1863749 1214214 482 489 2666240
2007960954906 4194304 948608 1863749 1214214 482 489 2666240
2007960960646 4194304 883632 1927829 1278294 482 491 2666240
2007960962526 4194304 883632 1927829 1278294 482 491 2666240
2007960966123 4194304 879888 1927829 1281142 482 491 2666240
2007960967960 4194304 879888 1927829 1281142 482 491 2666240
2007962269293 4194304 813952 1991909 1345286 482 493 2666240
2007962280441 4194304 813952 1991909 1345286 482 493 2666240
2007962306647 4194304 748976 2055989 1409366 482 496 2666240
2007962308936 4194304 748976 2055989 1409366 482 496 2666240
2007962317146 4194304 684000 2120069 1473446 482 498 2666240
2007962318979 4194304 684000 2120069 1473446 482 498 2666240
2007962326145 4194304 619920 2145701 1537526 482 500 2666240
2007962327940 4194304 619920 2145701 1537526 482 500 2666240
2007962332768 4194304 613328 2145701 1543222 482 500 2666240
2007962334580 4194304 613328 2145701 1543222 482 500 2666240
2007962341753 4194304 547328 2145797 1607430 482 503 2666240
2007962343665 4194304 547328 2145797 1607430 482 503 2666240
2007963161749 4194304 953200 2340949 1671510 482 505 2666240
2007963173146 4194304 953200 2340949 1671510 482 505 2666240
2007963203096 4194304 888224 2405029 1735590 482 507 2602240
2007963205461 4194304 888224 2405029 1735590 482 507 2602240
2007963213465 4194304 823248 2469109 1799670 482 509 2602240
2007963215316 4194304 823248 2469109 1799670 482 509 2602240
2007963221503 4194304 758272 2533189 1863750 482 512 2602240
2007963223290 4194304 758272 2533189 1863750 482 512 2602240
2007963229742 4194304 693296 2597269 1927830 482 514 2602240
2007963231506 4194304 693296 2597269 1927830 482 514 2602240
2007963250738 4194304 629216 2607237 1991910 482 516 2602240
2007963252756 4194304 629216 2607237 1991910 482 516 2602240
2007963258201 4194304 564240 2607237 2055990 482 518 2602240
2007963259944 4194304 564240 2607237 2055990 482 518 2602240
2007963273252 4194304 499264 2607237 2120070 482 521 2602240
2007963275194 4194304 499264 2607237 2120070 482 521 2602240
2007963906556 4194304 472736 2607237 2145702 482 521 2602240
2007963912577 4194304 472736 2607237 2145702 482 521 2602240
2007963944581 4194304 406768 2607237 2209878 482 524 2538112
2007963946699 4194304 406768 2607237 2209878 482 524 2538112
2007963950859 4194304 341792 2607237 2273958 482 526 2538112
2007963952792 4194304 341792 2607237 2273958 482 526 2538112
2007963956200 4194304 338048 2607237 2276806 482 526 2538112
2007963957982 4194304 338048 2607237 2276806 482 526 2538112
2007964349354 4194304 1458256 3056245 2340950 482 528 2538112
2007964357111 4194304 1458256 3056245 2340950 482 528 2538112
2007964377380 4194304 1393280 3120325 2405030 482 531 2714112
2007964379436 4194304 1393280 3120325 2405030 482 531 2714112
2007964385998 4194304 1328304 3184405 2469110 482 533 2714112
2007964387798 4194304 1328304 3184405 2469110 482 533 2714112
2007964405456 4194304 1263328 3251621 2533190 482 535 2714112
2007964407349 4194304 1263328 3251621 2533190 482 535 2714112
2007964420027 4194304 1198352 3315701 2597270 482 537 2714112
2007964422018 4194304 1198352 3315701 2597270 482 537 2714112
2007964778448 4194304 1188384 3371237 2607238 482 538 2704256
2007964781878 4194304 1188384 3371237 2607238 482 538 2704256
2007964799237 4194304 1122064 3379781 2671766 482 540 3009920
2007964801133 4194304 1122064 3379781 2671766 482 540 3009920
2007964807907 4194304 1057088 3443861 2735846 482 542 3009920
2007964809711 4194304 1057088 3443861 2735846 482 542 3009920
2007964816508 4194304 992112 3572021 2799926 482 545 3009920
2007964818302 4194304 992112 3572021 2799926 482 545 3009920
2007964823605 4194304 927136 3636101 2864006 482 547 3009920
2007964825374 4194304 927136 3636101 2864006 482 547 3009920
2007964834873 4194304 910944 3700181 2928086 482 549 3009920
2007964837540 4194304 910944 3700181 2928086 482 549 3009920
2007965333027 4194304 1845696 3823797 3056246 482 554 3009920
2007965341078 4194304 1845696 3823797 3056246 482 554 3009920
2007966348072 4194304 1780720 3887877 3120326 482 556 3112320
2007966352343 4194304 1780720 3887877 3120326 482 556 3112320
2007966379018 4194304 1715744 3951957 3184406 482 558 3048320
2007966381383 4194304 1715744 3951957 3184406 482 558 3048320
2007966409649 4194304 1656976 4016037 3242278 482 560 3051520
2007966411899 4194304 1656976 4016037 3242278 482 560 3051520
2007966416803 4194304 1646736 4016037 3251622 482 560 3051520
2007966418523 4194304 1646736 4016037 3251622 482 560 3051520
2007966427532 4194304 1581760 4080117 3315702 482 563 2987648
2007966429392 4194304 1581760 4080117 3315702 482 563 2987648
2007966437205 4194304 1525328 4144197 3371238 482 565 2932224
2007966439051 4194304 1525328 4144197 3371238 482 565 2932224
2007966443016 4194304 1515888 4144197 3379782 482 565 2923776
2007966444778 4194304 1515888 4144197 3379782 482 565 2923776
2007966451922 4194304 1450912 4208277 3443862 482 567 2859776
2007966453737 4194304 1450912 4208277 3443862 482 567 2859776
2007966460458 4194304 1385936 4272357 3507942 482 569 2795776
2007966462282 4194304 1385936 4272357 3507942 482 569 2795776
2007966687417 4194304 1320960 4336437 3572022 482 572 2731776
2007966694533 4194304 1320960 4336437 3572022 482 572 2731776
2007966721856 4194304 1256960 4400517 3636102 482 574 2667776
2007966724219 4194304 1256960 4400517 3636102 482 574 2667776
2007966733229 4194304 1192064 4464597 3700182 482 576 2603776
2007966735088 4194304 1192064 4464597 3700182 482 576 2603776
2007966742922 4194304 1127168 4528677 3764262 482 578 2539776
2007966744677 4194304 1127168 4528677 3764262 482 578 2539776
2007967870031 4194304 1911808 4592757 3775910 482 579 2528128
2007967876325 4194304 1911808 4592757 3775910 482 579 2528128
2007967897819 4194304 1864816 4649717 3822902 482 581 3077504
2007967899975 4194304 1864816 4649717 3822902 482 581 3077504
2007968298808 4194304 1798048 4656837 3887878 482 583 3077504
2007968305330 4194304 1798048 4656837 3887878 482 583 3077504
2007968323014 4194304 1733072 4784997 3951958 482 585 3047680
2007968325215 4194304 1733072 4784997 3951958 482 585 3047680
2007968332699 4194304 1668096 4849077 4016038 482 587 2983680
2007968334530 4194304 1668096 4849077 4016038 482 587 2983680
2007968345397 4194304 1604048 4872373 4080118 482 590 2919680
2007968347314 4194304 1604048 4872373 4080118 482 590 2919680
2007968356377 4194304 1539152 4936453 4144198 482 592 2855680
2007968358205 4194304 1539152 4936453 4144198 482 592 2855680
